Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,13.985416666666667,14.064916666666667,13.768666666666666,15.033416666666666,13.084916666666667,14.101833333333333,14.342999999999998,13.663250000000003,13.762333333333332,13.805083333333336,14.78308333333333,14.823500000000001,12.547166666666667,14.235500000000002,13.316749999999999,13.548083333333333,13.708583333333332,14.805416666666668,14.329666666666668,14.262083333333335,14.887333333333332,14.860083333333334,13.733083333333335,14.614833333333335,14.245833333333332,14.888749999999996,14.223166666666666,14.983999999999996,15.388999999999998,14.125750000000002,14.993333333333332,14.370750000000001,14.056083333333333,14.439249999999996,14.75475,14.859166666666667,14.426000000000002,14.904000000000002,15.1325,15.38875,15.497833333333334,15.778083333333333,15.537666666666668,14.916000000000002,15.77091666666667,14.979999999999999,15.595583333333332,15.106166666666665,15.216500000000002,15.257749999999996,15.828666666666669,15.517999999999999,14.481583333333333,16.533625
Africa,24.305083333333332,24.028500000000005,24.194499999999994,24.266666666666666,23.993750000000002,23.967583333333334,24.301833333333335,23.931,24.011749999999996,24.554833333333335,24.321583333333333,23.933083333333332,24.19908333333333,24.40008333333334,23.830416666666668,23.919749999999997,23.91191666666667,24.274249999999995,24.222166666666666,24.498416666666667,24.44666666666667,24.297416666666667,24.211583333333333,24.579416666666663,24.38716666666667,24.33983333333333,24.309416666666667,24.921999999999997,24.56833333333333,24.223833333333335,24.70375,24.422250000000002,24.33541666666667,24.53866666666666,24.43875,24.718416666666666,24.634500000000003,24.706833333333336,25.0205,24.743749999999995,24.588083333333334,24.841166666666666,24.961333333333332,25.02558333333333,24.895916666666665,25.156166666666664,24.818916666666667,24.851499999999998,24.75466666666667,25.0265,25.4725,24.7865,24.725916666666663,25.208750000000002
Albania,13.335083333333335,13.316749999999999,13.06875,13.085833333333332,12.515333333333333,12.378416666666665,13.204583333333337,12.621749999999997,12.869583333333333,12.802916666666667,12.839666666666666,12.534416666666665,12.60825,12.486666666666666,12.559833333333332,12.568416666666666,12.03625,13.22325,12.263583333333335,12.989166666666668,12.162083333333333,12.578666666666669,13.01525,12.510916666666667,12.640749999999999,12.948166666666667,13.056416666666665,12.996583333333332,13.044083333333335,12.803833333333332,13.46866666666667,12.338833333333334,13.084666666666665,13.122583333333337,14.09966666666667,12.782083333333334,12.7365,12.900916666666667,13.311250000000003,13.65375,13.746583333333335,13.690416666666666,13.559916666666668,13.62658333333333,13.258166666666666,12.747083333333334,12.976916666666668,13.890499999999998,13.955166666666665,13.84425,13.775416666666667,13.443250000000004,13.76825,14.993875000000001
Algeria,23.50408333333333,23.39033333333333,23.182416666666665,23.317833333333336,23.147499999999997,22.97375,23.301333333333332,22.861666666666675,23.185916666666667,23.458249999999996,23.32283333333333,22.672250000000002,22.69816666666667,22.886166666666668,22.541,22.716416666666664,22.35675,23.546083333333332,23.16183333333333,23.39683333333333,23.16016666666667,23.579250000000005,23.094166666666663,23.683000000000003,23.063083333333328,23.526250000000005,23.256666666666675,24.24775,23.81566666666667,23.724333333333337,24.014416666666673,23.011083333333332,22.767,23.450833333333335,23.642083333333332,23.7225,23.73433333333333,23.955166666666667,23.92058333333333,24.299416666666662,24.032249999999994,24.72441666666666,24.263000000000005,24.393666666666665,23.915999999999997,24.222583333333333,24.200833333333335,24.06533333333333,23.95025,24.15433333333333,25.21566666666666,24.144166666666667,23.95483333333333,25.1215
American Samoa,26.765500000000003,26.617166666666666,26.62766666666667,26.857666666666663,26.595666666666663,26.381249999999998,26.822166666666664,26.420416666666668,26.480833333333333,26.93658333333333,26.760666666666665,26.40225,26.81233333333334,27.138249999999996,26.591250000000002,26.773166666666665,26.721083333333336,26.786833333333337,26.684,26.891333333333336,26.990750000000002,26.745499999999996,26.90275,26.92866666666666,26.879499999999997,26.94991666666667,26.980333333333334,26.898750000000007,27.08941666666667,26.75266666666667,27.15625,27.171166666666675,27.072000000000003,26.816416666666665,26.986333333333324,27.26866666666667,27.11266666666667,26.95575,27.424833333333336,27.067166666666665,27.21983333333333,27.22758333333334,27.537916666666664,27.26483333333333,27.281166666666667,27.373500000000003,27.08125,27.452416666666664,26.995083333333337,27.034249999999997,27.453416666666666,27.009500000000003,27.201416666666663,27.51725
Andorra,11.214,12.2615,11.079333333333333,10.636166666666666,11.541083333333333,11.025916666666667,11.58475,11.606916666666665,11.436500000000002,10.884833333333333,11.376583333333334,11.192166666666667,10.741000000000001,11.176583333333333,11.077333333333334,11.247750000000002,11.304499999999999,11.134333333333336,11.040749999999997,11.30175,10.7725,11.546000000000001,12.18516666666667,11.991749999999998,11.03275,11.325416666666667,11.623500000000002,11.680250000000001,11.973916666666668,12.585083333333332,12.455583333333331,11.565416666666666,11.498416666666666,11.432166666666667,12.632249999999999,12.376416666666664,11.741416666666666,12.896166666666668,12.118749999999999,12.178666666666667,12.311916666666667,12.216083333333335,12.319583333333334,12.900666666666668,12.043,11.643416666666667,12.834333333333333,12.15525,11.978583333333333,12.566666666666668,11.480833333333335,12.994416666666668,12.339916666666667,12.307875000000001
Angola,21.927083333333332,21.938750000000002,21.84866666666667,21.83775,21.68641666666667,21.81991666666667,22.103250000000003,21.776416666666663,21.748166666666666,22.1905,22.149833333333333,21.837,22.010999999999996,22.349666666666668,21.623499999999996,21.738916666666668,21.447416666666665,21.95075,21.816999999999997,22.14475,22.077583333333333,22.027916666666666,21.819999999999997,22.367250000000002,22.356166666666667,22.02183333333333,22.036249999999995,22.749916666666664,22.412333333333333,22.12216666666667,22.466416666666664,22.095416666666665,22.49858333333333,22.291,22.189416666666663,22.936166666666665,22.479249999999997,22.317166666666665,23.120166666666666,22.382083333333338,22.360666666666663,22.502916666666668,22.925499999999996,23.06658333333333,22.572833333333335,22.96608333333333,21.947083333333328,22.42708333333334,22.287333333333333,22.3165,22.6815,22.029666666666667,22.12333333333333,22.507875000000002
Anguilla,27.14016666666667,26.935833333333335,26.846916666666672,27.049333333333333,26.88241666666666,26.557,26.691666666666663,26.484000000000005,26.608583333333332,27.049250000000004,26.91616666666667,26.553416666666664,26.670749999999998,27.01233333333333,26.491833333333336,26.48975,26.4545,27.048333333333332,27.04058333333333,26.80633333333334,27.25208333333333,27.18325,26.831166666666665,27.26366666666667,26.85933333333334,26.842,26.884416666666667,27.379583333333333,27.13791666666667,26.84658333333333,27.09875,27.097333333333335,27.050333333333338,27.163416666666663,27.16925,27.550333333333338,27.056833333333334,27.393583333333336,27.74083333333333,27.344583333333336,27.05275,27.4085,27.53825,27.67741666666667,27.333999999999993,27.73233333333333,27.636250000000004,27.68508333333334,27.140416666666667,27.46858333333334,27.855999999999998,27.528333333333332,27.639250000000004,27.363
Antarctica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua And Barbuda,26.96258333333333,26.73091666666667,26.736750000000004,26.891166666666667,26.70908333333333,26.421666666666663,26.59166666666667,26.342666666666663,26.416916666666665,26.881916666666665,26.738583333333334,26.39141666666666,26.549999999999997,26.87325,26.340000000000003,26.335416666666664,26.26766666666666,26.851916666666668,26.861499999999996,26.655666666666665,27.118416666666665,27.057666666666666,26.681,27.07925,26.618750000000002,26.618166666666667,26.70925,27.220583333333334,26.953,26.686499999999995,26.93466666666667,26.89566666666666,26.894750000000002,26.956166666666665,26.946083333333334,27.38033333333333,26.942333333333334,27.289333333333335,27.60175,27.131749999999997,26.892083333333343,27.253833333333333,27.361749999999997,27.513833333333338,27.15116666666667,27.59816666666667,27.46641666666667,27.509083333333336,26.96541666666667,27.27733333333333,27.73541666666667,27.296166666666664,27.4335,27.249624999999998
Argentina,14.99366666666667,14.972916666666668,14.852416666666668,14.847166666666666,14.431249999999999,14.909583333333332,14.677999999999997,15.049749999999998,15.196916666666667,15.262833333333333,15.195333333333336,14.651166666666668,14.81841666666667,14.597916666666668,14.637666666666666,14.939666666666668,14.440249999999999,15.351249999999999,15.186083333333334,14.97466666666667,15.226916666666666,15.167416666666668,15.256750000000002,14.954333333333333,14.400833333333333,15.326250000000002,15.33475,15.1875,14.836333333333334,15.543,15.155083333333332,15.097583333333338,14.739166666666664,15.098666666666668,15.578666666666669,15.149833333333333,15.211583333333332,15.620666666666667,15.261750000000005,15.064916666666663,14.7505,15.370416666666666,15.183750000000003,15.518333333333336,15.442166666666667,15.112833333333334,15.561083333333329,14.628083333333336,15.475999999999999,15.534416666666667,15.078833333333336,15.339666666666668,15.688999999999998,14.457124999999998
Armenia,9.273249999999999,9.482,9.982083333333334,9.273000000000001,8.057666666666668,8.496083333333335,10.841,8.087083333333332,8.906583333333334,8.230833333333333,9.846583333333333,9.105416666666667,7.789166666666667,8.207166666666664,8.314333333333332,8.993,8.345083333333333,8.692083333333334,9.047666666666666,10.146416666666669,9.358583333333334,9.805416666666666,8.274333333333333,9.000583333333333,9.067750000000002,9.174750000000001,9.306833333333334,8.996666666666666,8.626083333333334,9.785833333333331,9.258083333333333,9.372583333333333,7.614666666666666,7.769666666666667,9.02125,9.892166666666666,9.819166666666666,9.246333333333334,10.448416666666667,10.331000000000001,9.918166666666666,10.443416666666666,9.604999999999999,9.423083333333334,9.720166666666668,9.735416666666667,10.053500000000001,9.53525,9.706750000000001,9.842083333333333,11.509500000000003,9.136000000000001,10.35075,11.34375
Aruba,28.253583333333335,28.072833333333335,28.285999999999998,28.317249999999998,28.076416666666663,28.046750000000003,28.241166666666672,27.95475,28.114333333333335,28.631,28.369333333333334,27.89,28.352333333333334,28.331833333333332,27.70025,27.943250000000003,27.810083333333335,28.45441666666667,28.39158333333333,28.432333333333336,28.62691666666667,28.44825,28.246500000000008,28.686999999999998,28.198166666666662,27.88566666666667,27.98933333333333,28.85941666666666,28.34991666666667,28.134583333333328,28.243333333333325,28.34308333333333,28.498749999999998,28.589166666666667,28.482249999999993,28.73641666666666,28.47958333333334,28.763333333333332,28.982499999999998,28.197916666666668,28.127999999999997,28.630916666666664,28.849249999999998,28.849666666666664,28.506,28.772249999999996,28.804666666666662,28.822833333333325,28.45025,28.831999999999997,28.968333333333334,28.513333333333332,28.652333333333335,28.541249999999998
Asia,7.364333333333334,7.787499999999999,7.958583333333333,7.891833333333334,7.229416666666666,7.401,7.418499999999999,7.721666666666668,7.384666666666668,6.889500000000001,7.525666666666666,7.6859166666666665,7.2437499999999995,7.921499999999999,7.291333333333334,8.03975,7.110916666666667,7.6295,7.7387500000000005,7.643916666666666,7.709166666666667,8.1725,7.711749999999999,8.215166666666667,7.399,7.53625,7.77625,7.509416666666667,8.234083333333333,8.216333333333333,8.428166666666666,8.153249999999998,7.671916666666667,7.823166666666668,8.04125,8.705833333333333,7.8879166666666665,8.2815,8.29425,8.379500000000002,8.252583333333334,8.450916666666666,8.645333333333333,8.534,8.488833333333334,8.666666666666668,8.406916666666667,9.100666666666667,8.764999999999999,8.442333333333336,8.575583333333334,8.574,8.429333333333334,10.047374999999999
Australia,21.210500000000003,21.964249999999996,21.802916666666665,21.69783333333333,21.650750000000002,22.092083333333335,21.361000000000004,21.625416666666666,21.462166666666672,21.847583333333333,21.775750000000002,21.65433333333333,22.012083333333333,22.41275,21.238083333333332,21.692666666666668,21.193416666666668,21.892500000000002,21.605166666666666,22.252333333333336,22.586166666666667,22.164083333333334,21.910500000000003,22.261083333333332,21.516916666666663,22.043416666666662,22.09325,22.072416666666665,22.630083333333335,21.862833333333338,22.35575,22.48741666666667,21.932583333333337,22.160166666666665,22.030249999999995,21.955166666666667,22.325333333333333,22.086000000000002,22.664833333333334,22.0645,21.709666666666667,21.79275,22.46083333333333,22.44033333333333,22.286916666666666,22.896833333333333,22.264416666666662,22.48675,22.225916666666667,22.690583333333333,22.078166666666664,21.767,22.0245,22.142874999999997
Austria,6.527083333333334,7.1855833333333345,5.440999999999999,5.650916666666666,6.203333333333333,5.637083333333334,6.873416666666667,6.838166666666667,6.37925,6.000333333333334,5.934833333333334,6.4493333333333345,6.249833333333332,6.2135,6.891416666666667,6.898000000000001,6.416083333333332,6.916,5.786833333333333,6.404,5.633583333333333,6.503583333333332,6.918583333333333,7.187083333333333,6.061833333333333,5.923000000000001,6.316916666666667,6.1695,7.082166666666667,7.372416666666667,7.344,6.357916666666667,7.615583333333334,6.858666666666665,8.164916666666667,6.846499999999999,5.86325,7.025083333333335,7.222750000000001,7.23425,8.084916666666668,7.1889166666666675,7.91525,7.509333333333333,6.906083333333332,6.609500000000001,7.277583333333335,7.976500000000001,7.801916666666668,7.616,6.6490833333333335,7.855583333333332,7.6113333333333335,8.055125
